_id,title,precision,recall,f1-score,support,confused_with.willing_to_discuss_adviser,confused_with.coping_strategies_bipolar_disorder,confused_with.coping_strategies_depression,confused_with.treatment_options_drug_use_disorders,confused_with.health_resources,confused_with.goodbye,confused_with.coping_strategies_anxiety_disorders,confused_with.learn_about_alcohol_use_disorders,confused_with.support_network_anxiety_disorders,confused_with.support_network_depression,confused_with.support_network_alcohol_use_disorders,confused_with.serious_mental_health,confused_with.deny,value
64a96308aab0f7ba967030cb,support_network_drug_use_disorders,1,0.8,0.888888888888889,5,,,,1,,,,,,,,,,
64a96308aab0f7ba967030cc,wellbeing,1,1,1,5,,,,,,,,,,,,,,
64a96308aab0f7ba967030cd,history_mental_illness,1,0.8333333333333334,0.9090909090909091,6,,,,,1,,,,,,,,,
64a96308aab0f7ba967030ce,greet,1,0.9285714285714286,0.962962962962963,14,,,,,,1,,,,,,,,
64a96308aab0f7ba967030cf,identify_depression_symptoms,1,1,1,5,,,,,,,,,,,,,,
64a96308aab0f7ba967030d0,learn_about_anxiety_disorders,1,0.8333333333333334,0.9090909090909091,6,,,,,,,1,,,,,,,
64a96308aab0f7ba967030d1,treatment_options_eating_disorders,1,1,1,5,,,,,,,,,,,,,,
64a96308aab0f7ba967030d2,discussing_mental_health,1,1,1,7,,,,,,,,,,,,,,
64a96308aab0f7ba967030d3,negative_consequences_mental_collegaue,1,1,1,7,,,,,,,,,,,,,,
64a96308aab0f7ba967030d4,coping_strategies_alcohol_use_disorders,1,0.4,0.5714285714285715,5,,,2,,,,,1,,,,,,
64a96308aab0f7ba967030d5,treatment_options_anxiety_disorders,0,0,0,5,,,,,,,,,5,,,,,
64a96308aab0f7ba967030d6,bot_challenge,1,1,1,4,,,,,,,,,,,,,,
64a96308aab0f7ba967030d7,goodbye,0.9166666666666666,1,0.9565217391304348,11,,,,,,,,,,,,,,
64a96308aab0f7ba967030d8,coping_strategies_bipolar_disorder,0.8,1,0.888888888888889,4,,,,,,,,,,,,,,
64a96308aab0f7ba967030d9,learn_about_alcohol_use_disorders,0.8888888888888888,1,0.9411764705882353,8,,,,,,,,,,,,,,
64a96308aab0f7ba967030da,self_employment,1,1,1,7,,,,,,,,,,,,,,
64a96308aab0f7ba967030db,relapse_prevention_drug_use_disorders,1,1,1,5,,,,,,,,,,,,,,
64a96308aab0f7ba967030dc,willing_to_discuss_adviser,0.9,1,0.9473684210526316,9,,,,,,,,,,,,,,
64a96308aab0f7ba967030dd,treatment_anonymity,1,1,1,8,,,,,,,,,,,,,,
64a96308aab0f7ba967030de,tech_company,1,1,1,6,,,,,,,,,,,,,,
64a96308aab0f7ba967030df,learn_about_schizophrenia,1,1,1,3,,,,,,,,,,,,,,
64a96308aab0f7ba967030e0,learn_about_depression,1,1,1,6,,,,,,,,,,,,,,
64a96308aab0f7ba967030e1,body_image_eating_disorders,1,1,1,5,,,,,,,,,,,,,,
64a96308aab0f7ba967030e2,treatment_options_depression,1,0.6,0.7499999999999999,5,,,,,,,,,,2,,,,
64a96308aab0f7ba967030e3,treatment_options_drug_use_disorders,0.8333333333333334,1,0.9090909090909091,5,,,,,,,,,,,,,,
64a96308aab0f7ba967030e4,stress_reduction_schizophrenia,1,1,1,3,,,,,,,,,,,,,,
64a96308aab0f7ba967030e5,willing_to_discuss_collegaue,1,1,1,8,,,,,,,,,,,,,,
64a96308aab0f7ba967030e6,support_network_depression,0.7142857142857143,1,0.8333333333333333,5,,,,,,,,,,,,,,
64a96308aab0f7ba967030e7,identify_eating_disorder_symptoms,1,1,1,5,,,,,,,,,,,,,,
64a96308aab0f7ba967030e8,name_entry,1,1,1,22,,,,,,,,,,,,,,
64a96308aab0f7ba967030e9,mood_unhappy,1,1,1,14,,,,,,,,,,,,,,
64a96308aab0f7ba967030ea,learn_about_bipolar_disorder,1,1,1,4,,,,,,,,,,,,,,
64a96308aab0f7ba967030eb,treatment_options_alcohol_use_disorders,1,1,1,5,,,,,,,,,,,,,,
64a96308aab0f7ba967030ec,health_benefits,1,0.7142857142857143,0.8333333333333333,7,,,,,,,,,,,1,1,,
64a96308aab0f7ba967030ed,work_interference,1,0.8333333333333334,0.9090909090909091,6,,,,,,,,,,,,,1,
64a96308aab0f7ba967030ee,gender,1,1,1,3,,,,,,,,,,,,,,
64a96308aab0f7ba967030ef,understand_symptoms_bipolar_disorder,1,1,1,4,,,,,,,,,,,,,,
64a96308aab0f7ba967030f0,medication_management_bipolar_disorder,1,1,1,4,,,,,,,,,,,,,,
64a96308aab0f7ba967030f1,affirm,1,1,1,7,,,,,,,,,,,,,,
64a96308aab0f7ba967030f2,coping_strategies_depression,0.625,1,0.7692307692307693,5,,,,,,,,,,,,,,
64a96308aab0f7ba967030f3,serious_mental_health,0.9,1,0.9473684210526316,9,,,,,,,,,,,,,,
64a96308aab0f7ba967030f4,accuracy,,,,,,,,,,,,,,,,,,0.9491094147582697
64a96308aab0f7ba967030f5,macro avg,0.9418121693121694,0.9346031746031745,0.927918543565221,393,,,,,,,,,,,,,,
64a96308aab0f7ba967030f6,weighted avg,0.9504503412900361,0.9491094147582697,0.9424404161187868,393,,,,,,,,,,,,,,
64a96308aab0f7ba967030f7,micro avg,0.9491094147582697,0.9491094147582697,0.9491094147582697,393,,,,,,,,,,,,,,
